state,total_transactions,total_amount,query,year,yearly_transactions,yearly_amount,recent_amount
delhi,,,Query 2,2022,1732429663.0,2589348234429.1978,
delhi,,,Query 2,2023,2036749830.0,2780980596024.0,
delhi,,,Query 2,2024,3183662063.0,3744695576784.0,
goa,,,Query 2,2018,1244738.0,2648632615.8623376,
goa,,,Query 2,2019,4114941.0,7991018040.660502,
goa,,,Query 2,2020,9080241.0,15862123990.465132,
goa,,,Query 2,2021,27598206.0,46875779174.90346,
goa,,,Query 2,2022,56811513.0,87188734809.41179,
goa,,,Query 2,2023,111186366.0,155172024249.0,
goa,,,Query 2,2024,154908440.0,195282848527.0,
gujarat,,,Query 2,2018,39761960.0,62438058555.73316,
gujarat,,,Query 2,2019,134749574.0,221330052546.92633,
gujarat,,,Query 2,2020,231865328.0,427697735578.5452,
gujarat,,,Query 2,2021,538851693.0,1008870041432.7834,
gujarat,,,Query 2,2022,1106995692.0,1904701900776.381,
gujarat,,,Query 2,2023,1792853047.0,2746057632855.0,
gujarat,,,Query 2,2024,2881788040.0,3821810401380.0,
haryana,,,Query 2,2018,31843908.0,59879940980.86044,
haryana,,,Query 2,2019,113047107.0,198402034603.39117,
haryana,,,Query 2,2020,226926755.0,432253934294.45734,
haryana,,,Query 2,2021,506080308.0,919363346880.7821,
haryana,,,Query 2,2022,992698746.0,1655083232360.4136,
haryana,,,Query 2,2023,1895122365.0,2712655217712.0,
haryana,,,Query 2,2024,2979181935.0,3667398855984.0,
himachal-pradesh,,,Query 2,2018,3364250.0,6187247508.720735,
himachal-pradesh,,,Query 2,2019,10922850.0,21100547734.973167,
himachal-pradesh,,,Query 2,2020,21602414.0,39961478636.566505,
himachal-pradesh,,,Query 2,2021,43828962.0,78062664021.05063,
himachal-pradesh,,,Query 2,2022,91099555.0,139387681319.08923,
himachal-pradesh,,,Query 2,2023,134352214.0,174750829653.0,
himachal-pradesh,,,Query 2,2024,195640309.0,228086909873.0,
jammu-&-kashmir,,,Query 2,2018,7763165.0,13255998740.914188,
jammu-&-kashmir,,,Query 2,2019,7487796.0,17725904167.689583,
jammu-&-kashmir,,,Query 2,2020,12776978.0,38561427680.04324,
jammu-&-kashmir,,,Query 2,2021,46967058.0,110476786395.54718,
jammu-&-kashmir,,,Query 2,2022,89909610.0,164681004880.53674,
jammu-&-kashmir,,,Query 2,2023,226586254.0,311538043147.0,
jammu-&-kashmir,,,Query 2,2024,429111874.0,528444012561.0,
jharkhand,,,Query 2,2018,19737665.0,25999250107.809223,
jharkhand,,,Query 2,2019,51985184.0,81863660124.86067,
jharkhand,,,Query 2,2020,104924330.0,194525224779.24957,
jharkhand,,,Query 2,2021,265428552.0,476090130557.1566,
jharkhand,,,Query 2,2022,565951909.0,927721056427.8444,
jharkhand,,,Query 2,2023,1222467784.0,1706690592474.0,
jharkhand,,,Query 2,2024,2035925535.0,2493756201190.0,
karnataka,,,Query 2,2018,99925678.0,173966953727.19052,
karnataka,,,Query 2,2019,610519200.0,791262270257.2625,
karnataka,,,Query 2,2020,1216153117.0,1803284146281.2354,
karnataka,,,Query 2,2021,2739468515.0,4101588572149.9053,
karnataka,,,Query 2,2022,4903976066.0,7004230457883.784,
karnataka,,,Query 2,2023,8846261181.0,11475083645117.0,
karnataka,,,Query 2,2024,12554642522.0,15329305728250.0,
kerala,,,Query 2,2018,11524547.0,19359984557.230995,
kerala,,,Query 2,2019,35537598.0,60847539055.90446,
kerala,,,Query 2,2020,87068356.0,149264570608.5,
kerala,,,Query 2,2021,234359382.0,368516075314.5444,
kerala,,,Query 2,2022,453969659.0,630505499928.9578,
kerala,,,Query 2,2023,654293926.0,846751695456.0,
kerala,,,Query 2,2024,824144332.0,1001023799208.0,
ladakh,,,Query 2,2018,81174.0,279481579.9463398,
ladakh,,,Query 2,2019,292019.0,1067934315.168486,
ladakh,,,Query 2,2020,831785.0,2848883646.6639214,
ladakh,,,Query 2,2021,1896305.0,6778198791.432054,
ladakh,,,Query 2,2022,4022318.0,12068036019.891333,
ladakh,,,Query 2,2023,11282645.0,26233684372.0,
ladakh,,,Query 2,2024,20939629.0,39718403375.0,
lakshadweep,,,Query 2,2018,6255.0,16918666.73048696,
lakshadweep,,,Query 2,2019,12276.0,38950329.485020205,
lakshadweep,,,Query 2,2020,32610.0,81863441.88618581,
lakshadweep,,,Query 2,2021,49309.0,144227595.79918182,
lakshadweep,,,Query 2,2022,66354.0,213262917.87627226,
lakshadweep,,,Query 2,2023,171674.0,397667843.0,
lakshadweep,,,Query 2,2024,545516.0,716429990.0,
madhya-pradesh,,,Query 2,2018,57111347.0,82661034747.76497,
madhya-pradesh,,,Query 2,2019,199889462.0,298769094184.7073,
madhya-pradesh,,,Query 2,2020,417939741.0,764636116482.1661,
madhya-pradesh,,,Query 2,2021,1141064596.0,1930334818673.9558,
madhya-pradesh,,,Query 2,2022,2647690714.0,3950598228726.2207,
madhya-pradesh,,,Query 2,2023,3663711236.0,4928792428345.0,
madhya-pradesh,,,Query 2,2024,5944768963.0,7169487711867.0,
maharashtra,,,Query 2,2018,116301535.0,189848425279.9268,
maharashtra,,,Query 2,2019,526225123.0,737327096552.9008,
maharashtra,,,Query 2,2020,1099666770.0,1678817323722.2493,
maharashtra,,,Query 2,2021,2895082288.0,4319618186072.8965,
maharashtra,,,Query 2,2022,5752204240.0,7845721683148.701,
maharashtra,,,Query 2,2023,8774827659.0,10818477631726.0,
maharashtra,,,Query 2,2024,12820901117.0,14784385341469.0,
manipur,,,Query 2,2018,661158.0,1370270699.3498375,
manipur,,,Query 2,2019,1317186.0,3447137687.22515,
manipur,,,Query 2,2020,4949889.0,16015727273.011717,
manipur,,,Query 2,2021,14018645.0,38025448543.99256,
manipur,,,Query 2,2022,24200723.0,60074798679.16432,
manipur,,,Query 2,2023,7843332.0,23458052644.0,
manipur,,,Query 2,2024,20359407.0,43874199503.0,
meghalaya,,,Query 2,2018,388850.0,730694268.1708002,
meghalaya,,,Query 2,2019,1113558.0,2246623525.204466,
meghalaya,,,Query 2,2020,2489265.0,5315171568.8282175,
meghalaya,,,Query 2,2021,4195164.0,10866898384.59456,
meghalaya,,,Query 2,2022,12011012.0,28543671706.686893,
meghalaya,,,Query 2,2023,22540143.0,46449038873.0,
meghalaya,,,Query 2,2024,45897427.0,68391802881.0,
mizoram,,,Query 2,2018,140170.0,435763216.1884452,
mizoram,,,Query 2,2019,369310.0,1113660854.1182475,
mizoram,,,Query 2,2020,929381.0,2543737303.990513,
mizoram,,,Query 2,2021,1755773.0,5468394451.983024,
mizoram,,,Query 2,2022,2601706.0,7932522228.051155,
mizoram,,,Query 2,2023,5072666.0,12794399833.0,
mizoram,,,Query 2,2024,8666744.0,15813625523.0,
nagaland,,,Query 2,2018,342148.0,861137679.4487038,
nagaland,,,Query 2,2019,936380.0,2447502004.633021,
nagaland,,,Query 2,2020,2479761.0,6815188546.799653,
nagaland,,,Query 2,2021,5094963.0,15190245080.536995,
nagaland,,,Query 2,2022,8327599.0,23619603937.28091,
nagaland,,,Query 2,2023,12827081.0,34126672259.0,
nagaland,,,Query 2,2024,24760811.0,47298242248.0,
odisha,,,Query 2,2018,65162918.0,59640327897.653305,
odisha,,,Query 2,2019,169961871.0,217255933793.64725,
odisha,,,Query 2,2020,262069662.0,484456441630.33966,
odisha,,,Query 2,2021,654572735.0,1148293622288.5762,
odisha,,,Query 2,2022,1409487166.0,2178024945984.4019,
odisha,,,Query 2,2023,2382028996.0,3372391235528.0,
odisha,,,Query 2,2024,3975244104.0,4803919544410.0,
puducherry,,,Query 2,2018,732708.0,1494976831.819975,
puducherry,,,Query 2,2019,2810650.0,5510656609.768643,
puducherry,,,Query 2,2020,6688209.0,12693914904.672981,
puducherry,,,Query 2,2021,18551355.0,31551770500.532524,
puducherry,,,Query 2,2022,30601717.0,47858742749.470985,
puducherry,,,Query 2,2023,46640425.0,63078124152.0,
puducherry,,,Query 2,2024,60580233.0,75128888656.0,
punjab,,,Query 2,2018,12800841.0,25313100054.332413,
punjab,,,Query 2,2019,40087404.0,85084901248.66129,
punjab,,,Query 2,2020,69506576.0,155557338145.4817,
punjab,,,Query 2,2021,153834932.0,324924632736.33356,
