state,year,quater,total_amount,query,transacion_type,yearly_amount
assam,2018,1.0,1157804456.2124681,Query 1,,
assam,2018,2.0,2350585135.5377946,Query 1,,
assam,2018,3.0,3811134989.914274,Query 1,,
assam,2018,4.0,5888022859.013107,Query 1,,
assam,2019,1.0,8002099536.450852,Query 1,,
assam,2019,2.0,10954969189.12621,Query 1,,
assam,2019,3.0,12950443620.426497,Query 1,,
assam,2019,4.0,15281983895.512074,Query 1,,
assam,2020,1.0,20668428347.729244,Query 1,,
assam,2020,2.0,19766300125.919445,Query 1,,
assam,2020,3.0,29831391259.544064,Query 1,,
assam,2020,4.0,40226611319.26421,Query 1,,
assam,2021,1.0,51326464546.12237,Query 1,,
assam,2021,2.0,59192473376.663826,Query 1,,
assam,2021,3.0,75700499273.30763,Query 1,,
assam,2021,4.0,104184967893.21542,Query 1,,
assam,2022,1.0,132280437892.70287,Query 1,,
assam,2022,2.0,153111042086.78345,Query 1,,
assam,2022,3.0,161489079054.8985,Query 1,,
assam,2022,4.0,192653519187.5461,Query 1,,
assam,2023,1.0,212354167087.0,Query 1,,
assam,2023,2.0,235110788783.0,Query 1,,
assam,2023,3.0,244058014402.0,Query 1,,
assam,2023,4.0,285603636931.0,Query 1,,
assam,2024,1.0,321183906030.0,Query 1,,
assam,2024,2.0,345308670210.0,Query 1,,
assam,2024,3.0,333558308550.0,Query 1,,
assam,2024,4.0,382786405959.0,Query 1,,
bihar,2018,1.0,6045758172.017141,Query 1,,
bihar,2018,2.0,13506131109.67205,Query 1,,
bihar,2018,3.0,20135804378.901344,Query 1,,
bihar,2018,4.0,28397997168.577694,Query 1,,
bihar,2019,1.0,41502827514.52626,Query 1,,
bihar,2019,2.0,63132438283.54189,Query 1,,
bihar,2019,3.0,67692783254.278915,Query 1,,
bihar,2019,4.0,93313426577.80928,Query 1,,
bihar,2020,1.0,109256853527.24608,Query 1,,
bihar,2020,2.0,128806523628.84401,Query 1,,
bihar,2020,3.0,173328865111.8184,Query 1,,
bihar,2020,4.0,238905613136.47278,Query 1,,
bihar,2021,1.0,280973649701.22815,Query 1,,
bihar,2021,2.0,374580255186.5789,Query 1,,
bihar,2021,3.0,397062760956.41205,Query 1,,
bihar,2021,4.0,519371614068.76184,Query 1,,
bihar,2022,1.0,611411695731.1459,Query 1,,
bihar,2022,2.0,754461454966.14,Query 1,,
bihar,2022,3.0,791446486557.9156,Query 1,,
bihar,2022,4.0,936012149674.8322,Query 1,,
bihar,2023,1.0,1039276959944.0,Query 1,,
bihar,2023,2.0,1226046745390.0,Query 1,,
bihar,2023,3.0,1148153363366.0,Query 1,,
bihar,2023,4.0,1434735808415.0,Query 1,,
bihar,2024,1.0,1637736864896.0,Query 1,,
bihar,2024,2.0,1886846564676.0,Query 1,,
bihar,2024,3.0,1780280473339.0,Query 1,,
bihar,2024,4.0,2098927476047.0,Query 1,,
chandigarh,2018,1.0,613435420.8676232,Query 1,,
chandigarh,2018,2.0,961223261.7447293,Query 1,,
chandigarh,2018,3.0,1369354447.5343115,Query 1,,
chandigarh,2018,4.0,2032591591.7799745,Query 1,,
chandigarh,2019,1.0,2396032050.444029,Query 1,,
chandigarh,2019,2.0,2693116098.944456,Query 1,,
chandigarh,2019,3.0,3269682087.6608405,Query 1,,
chandigarh,2019,4.0,4152513817.9393516,Query 1,,
chandigarh,2020,1.0,5126453070.016199,Query 1,,
chandigarh,2020,2.0,3847015729.6900754,Query 1,,
chandigarh,2020,3.0,5089809353.36507,Query 1,,
chandigarh,2020,4.0,6146762901.349343,Query 1,,
chandigarh,2021,1.0,7596420859.545997,Query 1,,
chandigarh,2021,2.0,8417673939.936106,Query 1,,
chandigarh,2021,3.0,11815883004.693306,Query 1,,
chandigarh,2021,4.0,14373583510.618456,Query 1,,
chandigarh,2022,1.0,15174991549.84,Query 1,,
chandigarh,2022,2.0,17283500158.37099,Query 1,,
chandigarh,2022,3.0,20559757737.40585,Query 1,,
chandigarh,2022,4.0,27879754566.939415,Query 1,,
chandigarh,2023,1.0,12824894394.0,Query 1,,
chandigarh,2023,2.0,14414408750.0,Query 1,,
chandigarh,2023,3.0,15426783311.0,Query 1,,
chandigarh,2023,4.0,16281223001.0,Query 1,,
chandigarh,2024,1.0,15842176181.0,Query 1,,
chandigarh,2024,2.0,17556903812.0,Query 1,,
chandigarh,2024,3.0,19259257876.0,Query 1,,
chandigarh,2024,4.0,20501385889.0,Query 1,,
chhattisgarh,2018,1.0,2149155557.2367654,Query 1,,
chhattisgarh,2018,2.0,4264170443.1616497,Query 1,,
chhattisgarh,2018,3.0,6302307073.446316,Query 1,,
chhattisgarh,2018,4.0,9416412664.971485,Query 1,,
chhattisgarh,2019,1.0,12544556385.328442,Query 1,,
chhattisgarh,2019,2.0,17002355688.822294,Query 1,,
chhattisgarh,2019,3.0,19803259167.45353,Query 1,,
chhattisgarh,2019,4.0,27143788737.21339,Query 1,,
chhattisgarh,2020,1.0,32860597671.35623,Query 1,,
chhattisgarh,2020,2.0,32268382206.901356,Query 1,,
chhattisgarh,2020,3.0,41526744807.53408,Query 1,,
chhattisgarh,2020,4.0,62214974283.94856,Query 1,,
chhattisgarh,2021,1.0,69409843261.55156,Query 1,,
chhattisgarh,2021,2.0,78728771259.22603,Query 1,,
chhattisgarh,2021,3.0,104606108262.77673,Query 1,,
chhattisgarh,2021,4.0,136399110518.81282,Query 1,,
chhattisgarh,2022,1.0,157847045454.8345,Query 1,,
chhattisgarh,2022,2.0,181181677163.78122,Query 1,,
chhattisgarh,2022,3.0,220161558081.98898,Query 1,,
chhattisgarh,2022,4.0,252519180810.47153,Query 1,,
chhattisgarh,2023,1.0,301088936459.0,Query 1,,
chhattisgarh,2023,2.0,333156846754.0,Query 1,,
chhattisgarh,2023,3.0,350379679526.0,Query 1,,
chhattisgarh,2023,4.0,403985034545.0,Query 1,,
chhattisgarh,2024,1.0,463009809901.0,Query 1,,
chhattisgarh,2024,2.0,496313432419.0,Query 1,,
chhattisgarh,2024,3.0,497360133758.0,Query 1,,
chhattisgarh,2024,4.0,576828444625.0,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2018,1.0,175658384.1092169,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2018,2.0,302070771.6561516,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2018,3.0,447639595.6781753,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2018,4.0,658750616.8008866,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2019,1.0,843369776.0499004,Query 1,,
