device_brand,total_registered,total_opens,query,year,quarter,registered,opens,engagement_rate,state
Lenovo,,,Query 3,,,288543.0,2302190.0,,andaman-&-nicobar-islands
Xiaomi,,,Query 3,,,225414835.0,9313220038.0,,andhra-pradesh
Samsung,,,Query 3,,,225414835.0,9313220038.0,,andhra-pradesh
Vivo,,,Query 3,,,225414835.0,9313220038.0,,andhra-pradesh
Oppo,,,Query 3,,,225414835.0,9313220038.0,,andhra-pradesh
Realme,,,Query 3,,,225414835.0,9313220038.0,,andhra-pradesh
Motorola,,,Query 3,,,225414835.0,9313220038.0,,andhra-pradesh
OnePlus,,,Query 3,,,225414835.0,9313220038.0,,andhra-pradesh
Apple,,,Query 3,,,225414835.0,9313220038.0,,andhra-pradesh
Lenovo,,,Query 3,,,225414835.0,9313220038.0,,andhra-pradesh
Huawei,,,Query 3,,,225414835.0,9313220038.0,,andhra-pradesh
Others,,,Query 3,,,225414835.0,9313220038.0,,andhra-pradesh
Xiaomi,,,Query 3,,,2805570.0,106597393.0,,arunachal-pradesh
Samsung,,,Query 3,,,2805570.0,106597393.0,,arunachal-pradesh
Vivo,,,Query 3,,,2805570.0,106597393.0,,arunachal-pradesh
Oppo,,,Query 3,,,2805570.0,106597393.0,,arunachal-pradesh
Realme,,,Query 3,,,2805570.0,106597393.0,,arunachal-pradesh
Apple,,,Query 3,,,2805570.0,106597393.0,,arunachal-pradesh
Gionee,,,Query 3,,,2805570.0,106597393.0,,arunachal-pradesh
OnePlus,,,Query 3,,,2805570.0,106597393.0,,arunachal-pradesh
Others,,,Query 3,,,2805570.0,106597393.0,,arunachal-pradesh
Huawei,,,Query 3,,,2643418.0,106597393.0,,arunachal-pradesh
Motorola,,,Query 3,,,2470231.0,65178834.0,,arunachal-pradesh
Infinix,,,Query 3,,,335339.0,41418559.0,,arunachal-pradesh
Lenovo,,,Query 3,,,162152.0,0.0,,arunachal-pradesh
Xiaomi,,,Query 3,,,39481411.0,929231129.0,,assam
Samsung,,,Query 3,,,39481411.0,929231129.0,,assam
Vivo,,,Query 3,,,39481411.0,929231129.0,,assam
Oppo,,,Query 3,,,39481411.0,929231129.0,,assam
Realme,,,Query 3,,,39481411.0,929231129.0,,assam
Others,,,Query 3,,,39481411.0,929231129.0,,assam
Huawei,,,Query 3,,,37740326.0,929231129.0,,assam
Motorola,,,Query 3,,,34988822.0,647588676.0,,assam
Gionee,,,Query 3,,,30779231.0,516988241.0,,assam
Asus,,,Query 3,,,30779231.0,516988241.0,,assam
Apple,,,Query 3,,,21337249.0,706287773.0,,assam
Lenovo,,,Query 3,,,19885247.0,222943356.0,,assam
Tecno,,,Query 3,,,8702180.0,412242888.0,,assam
OnePlus,,,Query 3,,,8702180.0,412242888.0,,assam
Infinix,,,Query 3,,,4492589.0,281642453.0,,assam
Xiaomi,,,Query 3,,,167266170.0,3429324285.0,,bihar
Samsung,,,Query 3,,,167266170.0,3429324285.0,,bihar
Vivo,,,Query 3,,,167266170.0,3429324285.0,,bihar
Oppo,,,Query 3,,,167266170.0,3429324285.0,,bihar
Realme,,,Query 3,,,167266170.0,3429324285.0,,bihar
Motorola,,,Query 3,,,167266170.0,3429324285.0,,bihar
Huawei,,,Query 3,,,167266170.0,3429324285.0,,bihar
Others,,,Query 3,,,167266170.0,3429324285.0,,bihar
Infinix,,,Query 3,,,133850153.0,3263195965.0,,bihar
Lenovo,,,Query 3,,,131445531.0,2464931848.0,,bihar
Tecno,,,Query 3,,,80899832.0,2113185084.0,,bihar
Apple,,,Query 3,,,69236656.0,1130520757.0,,bihar
Micromax,,,Query 3,,,61713292.0,732429957.0,,bihar
HMD Global,,,Query 3,,,24653046.0,583709244.0,,bihar
Xiaomi,,,Query 3,,,5335570.0,63782890.0,,chandigarh
Samsung,,,Query 3,,,5335570.0,63782890.0,,chandigarh
Vivo,,,Query 3,,,5335570.0,63782890.0,,chandigarh
Oppo,,,Query 3,,,5335570.0,63782890.0,,chandigarh
Apple,,,Query 3,,,5335570.0,63782890.0,,chandigarh
OnePlus,,,Query 3,,,5335570.0,63782890.0,,chandigarh
Motorola,,,Query 3,,,5335570.0,63782890.0,,chandigarh
Realme,,,Query 3,,,5335570.0,63782890.0,,chandigarh
Others,,,Query 3,,,5335570.0,63782890.0,,chandigarh
Huawei,,,Query 3,,,4990190.0,63782890.0,,chandigarh
HMD Global,,,Query 3,,,3493015.0,47775866.0,,chandigarh
Lenovo,,,Query 3,,,1842555.0,16007024.0,,chandigarh
Micromax,,,Query 3,,,345380.0,0.0,,chandigarh
Xiaomi,,,Query 3,,,54136914.0,1753559767.0,,chhattisgarh
Samsung,,,Query 3,,,54136914.0,1753559767.0,,chhattisgarh
Vivo,,,Query 3,,,54136914.0,1753559767.0,,chhattisgarh
Oppo,,,Query 3,,,54136914.0,1753559767.0,,chhattisgarh
Micromax,,,Query 3,,,54136914.0,1753559767.0,,chhattisgarh
Realme,,,Query 3,,,54136914.0,1753559767.0,,chhattisgarh
OnePlus,,,Query 3,,,54136914.0,1753559767.0,,chhattisgarh
Apple,,,Query 3,,,54136914.0,1753559767.0,,chhattisgarh
Others,,,Query 3,,,54136914.0,1753559767.0,,chhattisgarh
Motorola,,,Query 3,,,42654472.0,1053303746.0,,chhattisgarh
Lenovo,,,Query 3,,,28096782.0,446384249.0,,chhattisgarh
Infinix,,,Query 3,,,16688526.0,976742097.0,,chhattisgarh
Tecno,,,Query 3,,,11482442.0,700256021.0,,chhattisgarh
Huawei,,,Query 3,,,9351606.0,330433421.0,,chhattisgarh
Xiaomi,,,Query 3,,,3896519.0,65524028.0,,dadra-&-nagar-haveli-&-daman-&-diu
Samsung,,,Query 3,,,3896519.0,65524028.0,,dadra-&-nagar-haveli-&-daman-&-diu
Vivo,,,Query 3,,,3896519.0,65524028.0,,dadra-&-nagar-haveli-&-daman-&-diu
Oppo,,,Query 3,,,3896519.0,65524028.0,,dadra-&-nagar-haveli-&-daman-&-diu
Realme,,,Query 3,,,3896519.0,65524028.0,,dadra-&-nagar-haveli-&-daman-&-diu
Motorola,,,Query 3,,,3896519.0,65524028.0,,dadra-&-nagar-haveli-&-daman-&-diu
Apple,,,Query 3,,,3896519.0,65524028.0,,dadra-&-nagar-haveli-&-daman-&-diu
Others,,,Query 3,,,3896519.0,65524028.0,,dadra-&-nagar-haveli-&-daman-&-diu
Huawei,,,Query 3,,,3019728.0,46603781.0,,dadra-&-nagar-haveli-&-daman-&-diu
OnePlus,,,Query 3,,,2858255.0,45995849.0,,dadra-&-nagar-haveli-&-daman-&-diu
Lenovo,,,Query 3,,,2701112.0,39441047.0,,dadra-&-nagar-haveli-&-daman-&-diu
Tecno,,,Query 3,,,1861797.0,38448426.0,,dadra-&-nagar-haveli-&-daman-&-diu
Infinix,,,Query 3,,,1195407.0,26082981.0,,dadra-&-nagar-haveli-&-daman-&-diu
Micromax,,,Query 3,,,53258.0,0.0,,dadra-&-nagar-haveli-&-daman-&-diu
Xiaomi,,,Query 3,,,133679039.0,2207607544.0,,delhi
Samsung,,,Query 3,,,133679039.0,2207607544.0,,delhi
Vivo,,,Query 3,,,133679039.0,2207607544.0,,delhi
Oppo,,,Query 3,,,133679039.0,2207607544.0,,delhi
Apple,,,Query 3,,,133679039.0,2207607544.0,,delhi
Realme,,,Query 3,,,133679039.0,2207607544.0,,delhi
OnePlus,,,Query 3,,,133679039.0,2207607544.0,,delhi
Motorola,,,Query 3,,,133679039.0,2207607544.0,,delhi
Huawei,,,Query 3,,,133679039.0,2207607544.0,,delhi
Others,,,Query 3,,,133679039.0,2207607544.0,,delhi
Lenovo,,,Query 3,,,95374654.0,1580569662.0,,delhi
Tecno,,,Query 3,,,38304385.0,627037882.0,,delhi
Xiaomi,,,Query 3,,,6844584.0,133695106.0,,goa
Samsung,,,Query 3,,,6844584.0,133695106.0,,goa
Vivo,,,Query 3,,,6844584.0,133695106.0,,goa
Oppo,,,Query 3,,,6844584.0,133695106.0,,goa
Apple,,,Query 3,,,6844584.0,133695106.0,,goa
OnePlus,,,Query 3,,,6844584.0,133695106.0,,goa
Motorola,,,Query 3,,,6844584.0,133695106.0,,goa
Realme,,,Query 3,,,6844584.0,133695106.0,,goa
Huawei,,,Query 3,,,6844584.0,133695106.0,,goa
Others,,,Query 3,,,6844584.0,133695106.0,,goa
Lenovo,,,Query 3,,,4755320.0,70152943.0,,goa
Tecno,,,Query 3,,,2089264.0,63542163.0,,goa
Xiaomi,,,Query 3,,,180731308.0,2984850564.0,,gujarat
Samsung,,,Query 3,,,180731308.0,2984850564.0,,gujarat
Vivo,,,Query 3,,,180731308.0,2984850564.0,,gujarat
Oppo,,,Query 3,,,180731308.0,2984850564.0,,gujarat
Apple,,,Query 3,,,180731308.0,2984850564.0,,gujarat
Realme,,,Query 3,,,180731308.0,2984850564.0,,gujarat
OnePlus,,,Query 3,,,180731308.0,2984850564.0,,gujarat
Lenovo,,,Query 3,,,180731308.0,2984850564.0,,gujarat
Motorola,,,Query 3,,,180731308.0,2984850564.0,,gujarat
Others,,,Query 3,,,180731308.0,2984850564.0,,gujarat
Huawei,,,Query 3,,,126380032.0,1595240265.0,,gujarat
Tecno,,,Query 3,,,54351276.0,1389610299.0,,gujarat
Xiaomi,,,Query 3,,,121872882.0,2470172085.0,,haryana
Samsung,,,Query 3,,,121872882.0,2470172085.0,,haryana
Vivo,,,Query 3,,,121872882.0,2470172085.0,,haryana
Oppo,,,Query 3,,,121872882.0,2470172085.0,,haryana
Apple,,,Query 3,,,121872882.0,2470172085.0,,haryana
Realme,,,Query 3,,,121872882.0,2470172085.0,,haryana
OnePlus,,,Query 3,,,121872882.0,2470172085.0,,haryana
Motorola,,,Query 3,,,121872882.0,2470172085.0,,haryana
Huawei,,,Query 3,,,121872882.0,2470172085.0,,haryana
Others,,,Query 3,,,121872882.0,2470172085.0,,haryana
Lenovo,,,Query 3,,,75033525.0,1279830020.0,,haryana
Tecno,,,Query 3,,,46839357.0,1190342065.0,,haryana
Xiaomi,,,Query 3,,,19411836.0,343276557.0,,himachal-pradesh
Samsung,,,Query 3,,,19411836.0,343276557.0,,himachal-pradesh
Vivo,,,Query 3,,,19411836.0,343276557.0,,himachal-pradesh
Oppo,,,Query 3,,,19411836.0,343276557.0,,himachal-pradesh
Realme,,,Query 3,,,19411836.0,343276557.0,,himachal-pradesh
Apple,,,Query 3,,,19411836.0,343276557.0,,himachal-pradesh
Motorola,,,Query 3,,,19411836.0,343276557.0,,himachal-pradesh
Others,,,Query 3,,,19411836.0,343276557.0,,himachal-pradesh
Lava,,,Query 3,,,18461530.0,343276557.0,,himachal-pradesh
Gionee,,,Query 3,,,11088407.0,150716905.0,,himachal-pradesh
Micromax,,,Query 3,,,10007878.0,97858938.0,,himachal-pradesh
Huawei,,,Query 3,,,6352753.0,135108463.0,,himachal-pradesh
Tecno,,,Query 3,,,6037856.0,177919548.0,,himachal-pradesh
OnePlus,,,Query 3,,,4157230.0,124949260.0,,himachal-pradesh
Lenovo,,,Query 3,,,2129854.0,0.0,,himachal-pradesh
Xiaomi,,,Query 3,,,14122428.0,245605386.0,,jammu-&-kashmir
Samsung,,,Query 3,,,14122428.0,245605386.0,,jammu-&-kashmir
