state,total_registered,total_app_opens,engagement_rate,query,year,quarter,users,opens
rajasthan,,,5648.24,Query 2,2021.0,2.0,208790835.0,11793003552.0
rajasthan,,,6973.62,Query 2,2021.0,3.0,225494115.0,15725092075.0
rajasthan,,,5392.52,Query 2,2021.0,4.0,241749222.0,13036364341.0
rajasthan,,,10986.03,Query 2,2022.0,1.0,257387427.0,28276671159.0
sikkim,,,0.0,Query 2,2018.0,1.0,220561.0,0.0
sikkim,,,0.0,Query 2,2018.0,2.0,309067.0,0.0
sikkim,,,0.0,Query 2,2018.0,3.0,414007.0,0.0
sikkim,,,0.0,Query 2,2018.0,4.0,533918.0,0.0
sikkim,,,0.0,Query 2,2019.0,1.0,648516.0,0.0
sikkim,,,561.3,Query 2,2019.0,2.0,780989.0,4383720.0
sikkim,,,1603.36,Query 2,2019.0,3.0,903408.0,14484844.0
sikkim,,,1669.32,Query 2,2019.0,4.0,1022692.0,17072044.0
sikkim,,,1622.05,Query 2,2020.0,1.0,1150941.0,18668793.0
sikkim,,,1594.66,Query 2,2020.0,2.0,1319131.0,21035685.0
sikkim,,,1600.08,Query 2,2020.0,3.0,1482503.0,23721170.0
sikkim,,,1668.65,Query 2,2020.0,4.0,1633973.0,27265370.0
sikkim,,,1744.76,Query 2,2021.0,1.0,1762343.0,30748641.0
sikkim,,,2644.18,Query 2,2021.0,2.0,1889140.0,49952331.0
sikkim,,,3094.09,Query 2,2021.0,3.0,2031623.0,62860215.0
sikkim,,,2799.07,Query 2,2021.0,4.0,2171477.0,60781072.0
sikkim,,,5934.75,Query 2,2022.0,1.0,2305776.0,136842123.0
tamil-nadu,,,0.0,Query 2,2018.0,1.0,23152294.0,0.0
tamil-nadu,,,0.0,Query 2,2018.0,2.0,32956396.0,0.0
tamil-nadu,,,0.0,Query 2,2018.0,3.0,42901947.0,0.0
tamil-nadu,,,0.0,Query 2,2018.0,4.0,57198658.0,0.0
tamil-nadu,,,0.0,Query 2,2019.0,1.0,69259333.0,0.0
tamil-nadu,,,453.04,Query 2,2019.0,2.0,81725699.0,370248571.0
tamil-nadu,,,1479.33,Query 2,2019.0,3.0,92717185.0,1371593762.0
tamil-nadu,,,1611.27,Query 2,2019.0,4.0,105825423.0,1705128887.0
tamil-nadu,,,1654.73,Query 2,2020.0,1.0,119596048.0,1978996283.0
tamil-nadu,,,1192.58,Query 2,2020.0,2.0,133658646.0,1593981917.0
tamil-nadu,,,1426.94,Query 2,2020.0,3.0,150077961.0,2141516124.0
tamil-nadu,,,1876.82,Query 2,2020.0,4.0,168933446.0,3170569072.0
tamil-nadu,,,2097.1,Query 2,2021.0,1.0,182958688.0,3836818854.0
tamil-nadu,,,1931.91,Query 2,2021.0,2.0,195849962.0,3783653214.0
tamil-nadu,,,2404.02,Query 2,2021.0,3.0,210401840.0,5058094074.0
tamil-nadu,,,3356.61,Query 2,2021.0,4.0,224764562.0,7544475840.0
tamil-nadu,,,2946.83,Query 2,2022.0,1.0,238337220.0,7023393025.0
telangana,,,0.0,Query 2,2018.0,1.0,36471160.0,0.0
telangana,,,0.0,Query 2,2018.0,2.0,46861265.0,0.0
telangana,,,0.0,Query 2,2018.0,3.0,56523511.0,0.0
telangana,,,0.0,Query 2,2018.0,4.0,71826469.0,0.0
telangana,,,0.0,Query 2,2019.0,1.0,87597675.0,0.0
telangana,,,893.68,Query 2,2019.0,2.0,99506077.0,889265322.0
telangana,,,3152.7,Query 2,2019.0,3.0,110996127.0,3499369621.0
telangana,,,3558.06,Query 2,2019.0,4.0,123427601.0,4391629484.0
telangana,,,3694.88,Query 2,2020.0,1.0,135375460.0,5001961976.0
telangana,,,2744.25,Query 2,2020.0,2.0,147160101.0,4038435555.0
telangana,,,3617.2,Query 2,2020.0,3.0,160499702.0,5805601175.0
telangana,,,4800.5,Query 2,2020.0,4.0,175205767.0,8410756585.0
telangana,,,5364.96,Query 2,2021.0,1.0,188639759.0,10120440462.0
telangana,,,4945.23,Query 2,2021.0,2.0,201375680.0,9958494612.0
telangana,,,5646.26,Query 2,2021.0,3.0,215768058.0,12182821167.0
telangana,,,6729.24,Query 2,2021.0,4.0,230094139.0,15483593312.0
telangana,,,5276.89,Query 2,2022.0,1.0,243656732.0,12857509764.0
tripura,,,0.0,Query 2,2018.0,1.0,606727.0,0.0
tripura,,,0.0,Query 2,2018.0,2.0,917059.0,0.0
tripura,,,0.0,Query 2,2018.0,3.0,1285614.0,0.0
tripura,,,0.0,Query 2,2018.0,4.0,1685915.0,0.0
tripura,,,0.0,Query 2,2019.0,1.0,2015794.0,0.0
tripura,,,438.16,Query 2,2019.0,2.0,2394084.0,10489897.0
tripura,,,1365.21,Query 2,2019.0,3.0,2700016.0,36860901.0
tripura,,,1326.05,Query 2,2019.0,4.0,2995278.0,39718877.0
tripura,,,1354.58,Query 2,2020.0,1.0,3299582.0,44695453.0
tripura,,,1319.77,Query 2,2020.0,2.0,3703326.0,48875431.0
tripura,,,1533.7,Query 2,2020.0,3.0,4144041.0,63556988.0
tripura,,,1470.81,Query 2,2020.0,4.0,4500210.0,66189739.0
tripura,,,1366.96,Query 2,2021.0,1.0,4835996.0,66106260.0
tripura,,,2012.25,Query 2,2021.0,2.0,5193683.0,104509691.0
tripura,,,2408.01,Query 2,2021.0,3.0,5609219.0,135070606.0
tripura,,,1963.91,Query 2,2021.0,4.0,6009212.0,118015722.0
tripura,,,3319.39,Query 2,2022.0,1.0,6403364.0,212552593.0
uttar-pradesh,,,0.0,Query 2,2018.0,1.0,51636750.0,0.0
uttar-pradesh,,,0.0,Query 2,2018.0,2.0,70868094.0,0.0
uttar-pradesh,,,0.0,Query 2,2018.0,3.0,89061313.0,0.0
uttar-pradesh,,,0.0,Query 2,2018.0,4.0,113761604.0,0.0
uttar-pradesh,,,0.0,Query 2,2019.0,1.0,137045271.0,0.0
uttar-pradesh,,,547.58,Query 2,2019.0,2.0,157479839.0,862334440.0
uttar-pradesh,,,1671.23,Query 2,2019.0,3.0,176490677.0,2949568666.0
uttar-pradesh,,,1805.44,Query 2,2019.0,4.0,197444962.0,3564754875.0
uttar-pradesh,,,1858.75,Query 2,2020.0,1.0,221498816.0,4117102913.0
uttar-pradesh,,,1705.46,Query 2,2020.0,2.0,247483709.0,4220738874.0
uttar-pradesh,,,1814.89,Query 2,2020.0,3.0,273219276.0,4958629588.0
uttar-pradesh,,,2026.56,Query 2,2020.0,4.0,299740474.0,6074428778.0
uttar-pradesh,,,2169.86,Query 2,2021.0,1.0,324302825.0,7036901564.0
uttar-pradesh,,,2128.15,Query 2,2021.0,2.0,348170834.0,7409587504.0
uttar-pradesh,,,2353.87,Query 2,2021.0,3.0,375670702.0,8842791276.0
uttar-pradesh,,,3211.36,Query 2,2021.0,4.0,402794205.0,12935161734.0
uttar-pradesh,,,2145.98,Query 2,2022.0,1.0,428996612.0,9206186275.0
uttarakhand,,,0.0,Query 2,2018.0,1.0,5313473.0,0.0
uttarakhand,,,0.0,Query 2,2018.0,2.0,7140562.0,0.0
uttarakhand,,,0.0,Query 2,2018.0,3.0,8916732.0,0.0
uttarakhand,,,0.0,Query 2,2018.0,4.0,11133133.0,0.0
uttarakhand,,,0.0,Query 2,2019.0,1.0,13474505.0,0.0
uttarakhand,,,527.05,Query 2,2019.0,2.0,15557729.0,81997069.0
uttarakhand,,,1555.06,Query 2,2019.0,3.0,17444449.0,271270868.0
uttarakhand,,,1646.27,Query 2,2019.0,4.0,19279447.0,317392537.0
uttarakhand,,,1678.9,Query 2,2020.0,1.0,21379666.0,358943915.0
uttarakhand,,,1446.3,Query 2,2020.0,2.0,23634237.0,341822723.0
uttarakhand,,,1706.97,Query 2,2020.0,3.0,26019818.0,444150828.0
uttarakhand,,,2024.65,Query 2,2020.0,4.0,28558684.0,578213768.0
uttarakhand,,,2115.62,Query 2,2021.0,1.0,30823342.0,652104860.0
uttarakhand,,,2609.15,Query 2,2021.0,2.0,33044440.0,862180396.0
uttarakhand,,,2810.77,Query 2,2021.0,3.0,35568599.0,999751830.0
uttarakhand,,,3206.01,Query 2,2021.0,4.0,38060165.0,1220211894.0
uttarakhand,,,3135.5,Query 2,2022.0,1.0,40423119.0,1267468202.0
west-bengal,,,0.0,Query 2,2018.0,1.0,28652679.0,0.0
west-bengal,,,0.0,Query 2,2018.0,2.0,42171745.0,0.0
west-bengal,,,0.0,Query 2,2018.0,3.0,53369140.0,0.0
west-bengal,,,0.0,Query 2,2018.0,4.0,69072058.0,0.0
west-bengal,,,0.0,Query 2,2019.0,1.0,81943675.0,0.0
west-bengal,,,574.89,Query 2,2019.0,2.0,94740745.0,544656211.0
west-bengal,,,1830.91,Query 2,2019.0,3.0,106075442.0,1942149121.0
west-bengal,,,2244.61,Query 2,2019.0,4.0,119735638.0,2687592743.0
west-bengal,,,1731.22,Query 2,2020.0,1.0,131569042.0,2277750398.0
west-bengal,,,1501.96,Query 2,2020.0,2.0,145442242.0,2184482652.0
west-bengal,,,1706.45,Query 2,2020.0,3.0,158932026.0,2712103141.0
west-bengal,,,1862.6,Query 2,2020.0,4.0,172283023.0,3208941109.0
west-bengal,,,1884.92,Query 2,2021.0,1.0,184896789.0,3485159414.0
west-bengal,,,1531.38,Query 2,2021.0,2.0,197779769.0,3028756126.0
west-bengal,,,1803.98,Query 2,2021.0,3.0,212556058.0,3834475326.0
west-bengal,,,2481.7,Query 2,2021.0,4.0,227089797.0,5635694229.0
west-bengal,,,1077.25,Query 2,2022.0,1.0,241117657.0,2597441715.0
rajasthan,,,4219.61,Query 3,,,,
andhra-pradesh,,,4131.59,Query 3,,,,
telangana,,,3974.28,Query 3,,,,
arunachal-pradesh,,,3799.49,Query 3,,,,
karnataka,,,3791.01,Query 3,,,,
